OPTIONS | 204 | /api/warehouse/request/update | 2.541 ms | ::1 | - | 3:23:57
POST | 200 | /api/warehouse/request/update | 1593.741 ms | ::1 | - | 3:23:58
OPTIONS | 204 | /api/warehouse/request/update | 1.296 ms | ::1 | - | 3:26:18
POST | 200 | /api/warehouse/request/update | 1624.324 ms | ::1 | - | 3:26:20
OPTIONS | 204 | /api/warehouse/request/update | 1.495 ms | ::1 | - | 3:28:33
POST | 200 | /api/warehouse/request/update | 1572.370 ms | ::1 | - | 3:28:35
GET | 301 | /warehouse | 9.372 ms | ::1 | - | 16:29:30
GET | 200 | /warehouse/ | 6.012 ms | ::1 | - | 16:29:30
GET | 404 | /static/js/main.458d58b1.js | 7.927 ms | ::1 | - | 16:29:30
GET | 304 | /static/css/main.5da68ca8.css | 3.017 ms | ::1 | - | 16:29:30
GET | 304 | /manifest.json | 3.677 ms | ::1 | - | 16:29:30
GET | 304 | /logo192.png | 1.572 ms | ::1 | - | 16:29:30
GET | 304 | /manifest.json | 6.336 ms | ::1 | - | 16:29:37
GET | 304 | /static/css/main.5da68ca8.css | 3.147 ms | ::1 | - | 16:29:37
GET | 304 | /warehouse/ | 4.633 ms | ::1 | - | 16:30:03
GET | 404 | /static/js/main.458d58b1.js | 8.979 ms | ::1 | - | 16:30:03
GET | 304 | /static/css/main.5da68ca8.css | 6.054 ms | ::1 | - | 16:30:03
GET | 304 | /manifest.json | 7.050 ms | ::1 | - | 16:30:04
GET | 304 | /favicon.ico | 2.989 ms | ::1 | - | 16:30:04
GET | 304 | /logo192.png | 1.921 ms | ::1 | - | 16:30:04
GET | 304 | / | 20.145 ms | ::1 | - | 16:31:59
GET | 304 | /static/js/main.106080de.js | 12.358 ms | ::1 | - | 16:31:59
GET | 304 | /static/css/main.5da68ca8.css | 5.270 ms | ::1 | - | 16:31:59
GET | 304 | /static/media/logo.797d41c84d2b50c923aa6f4dddd87340.svg | 7.897 ms | ::1 | - | 16:32:00
GET | 304 | /static/media/simpleShiny.c28a7e6148b72e87a981a66aa195fa0d.svg | 3.158 ms | ::1 | - | 16:32:00
GET | 304 | /static/media/server.fccdcc5589fc2007f74d2b74387929b2.svg | 6.449 ms | ::1 | - | 16:32:00
GET | 304 | /static/media/padlock.4f2477cec25d06b9789a5facd41b48c3.svg | 2.806 ms | ::1 | - | 16:32:00
GET | 304 | /static/media/roboto-v30-latin-700.227c93190fe7f82de3f8.woff2 | 9.114 ms | ::1 | - | 16:32:00
GET | 304 | /static/media/roboto-v30-latin-regular.b009a76ad6afe4ebd301.woff2 | 6.671 ms | ::1 | - | 16:32:00
GET | 304 | /static/media/boxLogo.fea54e18e3aa37859814.png | 8.149 ms | ::1 | - | 16:32:00
GET | 304 | /manifest.json | 2.351 ms | ::1 | - | 16:32:00
GET | 304 | /logo192.png | 1.680 ms | ::1 | - | 16:32:00
GET | 200 | /api/store/info | 2052.866 ms | ::1 | - | 16:32:02
GET | 304 | /api/store/info | 719.311 ms | ::1 | - | 16:32:03
GET | 304 | /warehouse/ | 2.474 ms | ::1 | - | 16:32:09
GET | 404 | /static/js/main.458d58b1.js | 9.991 ms | ::1 | - | 16:32:09
GET | 304 | /static/css/main.5da68ca8.css | 6.934 ms | ::1 | - | 16:32:09
GET | 304 | /manifest.json | 3.430 ms | ::1 | - | 16:32:09
GET | 304 | /logo192.png | 1.410 ms | ::1 | - | 16:32:09
GET | 200 | /warehouse/ | 39.102 ms | ::1 | - | 16:32:30
GET | 304 | /static/js/main.106080de.js | 11.889 ms | ::1 | - | 16:32:30
GET | 304 | /static/css/main.5da68ca8.css | 9.023 ms | ::1 | - | 16:32:30
GET | 304 | /static/media/logo.797d41c84d2b50c923aa6f4dddd87340.svg | 5.784 ms | ::1 | - | 16:32:30
GET | 200 | /static/media/404.b09d73f21fb75de74e0c1f899d27aadc.svg | 35.311 ms | ::1 | - | 16:32:30
GET | 304 | /favicon.ico | 7.695 ms | ::1 | - | 16:32:30
GET | 304 | /static/media/roboto-v30-latin-regular.b009a76ad6afe4ebd301.woff2 | 8.920 ms | ::1 | - | 16:32:31
GET | 304 | /static/media/roboto-v30-latin-700.227c93190fe7f82de3f8.woff2 | 5.510 ms | ::1 | - | 16:32:31
GET | 304 | /manifest.json | 3.332 ms | ::1 | - | 16:32:31
GET | 304 | /logo192.png | 2.082 ms | ::1 | - | 16:32:31
GET | 304 | /static/media/roboto-v30-latin-700.227c93190fe7f82de3f8.woff2 | 2.605 ms | ::1 | - | 16:32:37
GET | 304 | /manifest.json | 1.759 ms | ::1 | - | 16:32:37
GET | 304 | /logo192.png | 1.890 ms | ::1 | - | 16:32:37
GET | 304 | /api/store/info | 1831.613 ms | ::1 | - | 16:32:39
GET | 304 | /static/media/logo.797d41c84d2b50c923aa6f4dddd87340.svg | 2.294 ms | ::1 | - | 16:32:39
GET | 304 | /static/media/roboto-v30-latin-regular.b009a76ad6afe4ebd301.woff2 | 1.821 ms | ::1 | - | 16:32:39
GET | 304 | /api/store/info | 724.254 ms | ::1 | - | 16:32:40
GET | 200 | /warehouse/ | 14.508 ms | ::1 | - | 16:34:53
GET | 404 | /static/js/main.458d58b1.js | 14.947 ms | ::1 | - | 16:34:53
GET | 304 | /static/css/main.5da68ca8.css | 8.254 ms | ::1 | - | 16:34:53
GET | 304 | /manifest.json | 1.742 ms | ::1 | - | 16:34:53
GET | 304 | /logo192.png | 1.520 ms | ::1 | - | 16:34:53
GET | 200 | /warehouse/ | 17.896 ms | ::1 | - | 16:37:09
GET | 404 | /static/js/main.458d58b1.js | 16.098 ms | ::1 | - | 16:37:09
GET | 304 | /static/css/main.5da68ca8.css | 12.419 ms | ::1 | - | 16:37:09
GET | 304 | /favicon.ico | 2.358 ms | ::1 | - | 16:37:09
GET | 304 | /manifest.json | 1.762 ms | ::1 | - | 16:37:09
GET | 304 | /logo192.png | 2.192 ms | ::1 | - | 16:37:09
GET | 304 | /warehouse/ | 2.941 ms | ::1 | - | 16:37:10
GET | 404 | /static/js/main.458d58b1.js | 9.945 ms | ::1 | - | 16:37:10
GET | 304 | /static/css/main.5da68ca8.css | 6.288 ms | ::1 | - | 16:37:10
GET | 304 | /favicon.ico | 7.881 ms | ::1 | - | 16:37:11
GET | 304 | /manifest.json | 5.450 ms | ::1 | - | 16:37:11
GET | 304 | /logo192.png | 2.031 ms | ::1 | - | 16:37:11
GET | 304 | /warehouse/ | 2.750 ms | ::1 | - | 16:37:11
GET | 404 | /static/js/main.458d58b1.js | 7.120 ms | ::1 | - | 16:37:11
GET | 304 | /static/css/main.5da68ca8.css | 5.228 ms | ::1 | - | 16:37:11
GET | 304 | /manifest.json | 7.287 ms | ::1 | - | 16:37:11
GET | 304 | /favicon.ico | 4.459 ms | ::1 | - | 16:37:11
GET | 304 | /logo192.png | 1.499 ms | ::1 | - | 16:37:11
GET | 304 | /warehouse/ | 2.540 ms | ::1 | - | 16:37:12
GET | 404 | /static/js/main.458d58b1.js | 6.201 ms | ::1 | - | 16:37:12
GET | 304 | /static/css/main.5da68ca8.css | 2.859 ms | ::1 | - | 16:37:12
GET | 304 | /favicon.ico | 6.574 ms | ::1 | - | 16:37:12
GET | 304 | /manifest.json | 2.964 ms | ::1 | - | 16:37:12
GET | 304 | /warehouse/ | 1.282 ms | ::1 | - | 16:37:12
GET | 404 | /static/js/main.458d58b1.js | 6.220 ms | ::1 | - | 16:37:12
GET | 304 | /static/css/main.5da68ca8.css | 4.245 ms | ::1 | - | 16:37:12
GET | 304 | /logo192.png | 1.418 ms | ::1 | - | 16:37:12
GET | 304 | /manifest.json | 1.462 ms | ::1 | - | 16:37:12
GET | 304 | /warehouse/ | 1.367 ms | ::1 | - | 16:37:12
GET | 304 | /logo192.png | 3.041 ms | ::1 | - | 16:37:12
